Time (s),Setpoint (turns),Encoder Position (turns)
3.1692094802856445,-0.30858935818828326,-0.3496662974357605
3.1852047443389893,-0.2990009726103434,-0.34539973735809326
3.2012059688568115,-0.2885686522297253,-0.3401905298233032
3.217202663421631,-0.277305709856061,-0.33370956778526306
3.2332050800323486,-0.265211950405596,-0.3262803852558136
3.2492117881774902,-0.2522953227291671,-0.3166446089744568
3.2652084827423096,-0.2385759649015065,-0.3047064542770386
3.2812108993530273,-0.22404937706931566,-0.2923354506492615
3.297206401824951,-0.20873628939109806,-0.27920493483543396
3.3132829666137695,-0.19255671606392272,-0.2633703947067261
3.3292787075042725,-0.1756837683953223,-0.2480056881904602
3.3452794551849365,-0.15804308784821472,-0.2353980839252472
3.361427068710327,-0.13947871868151204,-0.22217720746994019
3.3773436546325684,-0.12044264452442682,-0.20879721641540527
3.3933181762695312,-0.10061331584178493,-0.19319340586662292
3.4093005657196045,-0.08006088705977671,-0.17101889848709106
3.425307035446167,-0.05877535645021862,-0.14821526408195496
3.441293239593506,-0.03682886188019468,-0.12819352746009827
3.4572947025299072,-0.014186825331471975,-0.11010107398033142
3.473285436630249,0.00909998548150933,-0.08965104818344116
3.4892914295196533,0.03305497557249456,-0.0688205361366272
3.5052902698516846,0.05762996959110447,-0.04501304030418396
3.5212950706481934,0.08282950652678187,-0.020649731159210205
3.537285804748535,0.10860568777328691,0.004770755767822266
3.553288221359253,0.13498359721374026,0.028312265872955322
3.569296360015869,0.16193768812499781,0.04986166954040527
3.5852954387664795,0.18942587141987777,0.07664167881011963
3.6012966632843018,0.21744967595641596,0.10608100891113281
3.6172943115234375,0.24598131398555056,0.1324586272239685
3.633305788040161,0.27503427480367276,0.15930801630020142
3.6493043899536133,0.304541805723695,0.18641066551208496
3.6653096675872803,0.3345210336717536,0.2165204882621765
3.6813066005706787,0.3649248251174031,0.24695885181427002
3.6972968578338623,0.3957365472756007,0.2767418622970581
3.713301658630371,0.42697792534684437,0.30349069833755493
3.7292933464050293,0.4585753186079064,0.3357471227645874
3.7453157901763916,0.49059602533933644,0.3683387041091919
3.7612991333007812,0.522879976427985,0.39891934394836426
3.77730393409729,0.5555285098146078,0.4295220375061035
3.7932989597320557,0.5884576630957004,0.4624550938606262
3.809312105178833,0.6217042659726906,0.49584561586380005
3.825300931930542,0.655159077363505,0.52901691198349
3.841303586959839,0.6888805154489175,0.558924674987793
3.857294797897339,0.7227941061856126,0.5951246023178101
3.873298406600952,0.7569289993245844,0.6289288997650146
3.889298439025879,0.7912297286099719,0.6619926691055298
3.9053027629852295,0.8256914951886244,0.6951285600662231
3.9213271141052246,0.8603267018460727,0.7309255599975586
3.937317132949829,0.8949958333329112,0.7669398784637451
3.953321933746338,0.9297832563095213,0.799094557762146
3.9693641662597656,0.9647165505584421,0.8343594074249268
3.9853391647338867,0.9995456240627035,0.8704301118850708
4.00133490562439,1.0344400879372386,0.9047122001647949
4.017321825027466,1.0693134749405535,0.9381647109985352
4.033316612243652,1.1041801761034686,0.9743480682373047
4.049321413040161,1.1390227990756179,1.0108091831207275
4.0653181076049805,1.1737798931014767,1.044273853302002
4.081322193145752,1.2084631680014533,1.0786068439483643
4.097314119338989,1.243008411420481,1.1153688430786133
4.113308906555176,1.2774263570865962,1.1494193077087402
4.129309177398682,1.3117008066094056,1.1827874183654785
4.145299911499023,1.345778020503082,1.2186169624328613
4.161310911178589,1.3796997780832116,1.254255771636963
4.1772987842559814,1.413352810207501,1.2879167795181274
4.193310022354126,1.4468136817053725,1.3198084831237793
4.209301233291626,1.4799705290318925,1.3566961288452148
4.225308418273926,1.512877131620808,1.3896636962890625
4.241299629211426,1.5454470542835748,1.4221782684326172
4.257302761077881,1.577716643102528,1.455610990524292
4.2733118534088135,1.6096529359219938,1.489727258682251
4.2893054485321045,1.641193279351104,1.52353036403656
4.305296897888184,1.672344699929611,1.5528398752212524
4.321303367614746,1.7031204830995244,1.5864742994308472
4.337301969528198,1.733456919420133,1.6195980310440063
4.353305816650391,1.763359805560797,1.6500428915023804
4.369301080703735,1.7927845666103046,1.6797537803649902
4.385310173034668,1.8217535959013604,1.711410403251648
4.401303052902222,1.8501943620830088,1.7426624298095703
4.417303562164307,1.878131696083446,1.7731549739837646
4.433307409286499,1.9055399223033627,1.7992414236068726
4.449315309524536,1.9324025683299204,1.8286612033843994
4.465306520462036,1.9586685306281257,1.8595329523086548
4.481316566467285,1.9843794308779743,1.886122703552246
4.497331857681274,2.009495859129456,1.912309169769287
4.5133044719696045,2.0339289566965637,1.9379851818084717
4.529314279556274,2.0577857583393437,1.9655561447143555
4.545307636260986,2.080970049547808,1.9924368858337402
4.561326742172241,2.1035277593771164,2.0178122520446777
4.5773537158966064,2.1254173299513184,2.039386749267578
4.593374729156494,2.1466058925871856,2.060609817504883
4.609383821487427,2.167073322095879,2.087151527404785
4.625341892242432,2.1867609132392274,2.1118297576904297
4.6413254737854,2.2057523784411655,2.131490468978882
4.657307863235474,2.224002366143528,2.1510567665100098
4.6733129024505615,2.241525078079649,2.1708199977874756
4.689307928085327,2.2582728049876843,2.1901285648345947
4.7053163051605225,2.274259182197891,2.210453510284424
4.721313953399658,2.289449879340726,2.230117082595825
4.737333536148071,2.303865468984841,2.249854326248169
4.753326654434204,2.3174536399437144,2.2651207447052
4.769345998764038,2.3302505716773356,2.2784008979797363
4.785323619842529,2.342195103751939,2.289947986602783
4.801321983337402,2.3533279995220555,2.3016271591186523
4.8173205852508545,2.3636263359267904,2.3170058727264404
4.833319187164307,2.373083437357242,2.3348937034606934
4.849311113357544,2.381689916364885,2.349966049194336
4.865316867828369,2.389450799706753,2.3614768981933594
4.881311655044556,2.3963489379322125,2.368612289428711
4.897313594818115,2.4023880936261484,2.3739335536956787
4.913314580917358,2.407560892184767,2.3787660598754883
4.929321765899658,2.411865950023764,2.3844637870788574
4.9453113079071045,2.4152950715590955,2.3913991451263428
4.961320877075195,2.4178539718159393,2.3990097045898438
4.977324962615967,2.419535765121765,2.4057490825653076
4.993320941925049,2.4203402296518344,2.4106950759887695
5.009314060211182,2.420268022593497,2.4143033027648926
5.025314807891846,2.4193187501782334,2.4165477752685547
5.041322231292725,2.417491892716337,2.417781114578247
5.057331562042236,2.414788443929561,2.418144702911377
5.073320150375366,2.411215479828146,2.4180426597595215
5.089321613311768,2.4067683902454875,2.4178380966186523
5.1053197383880615,2.401453709621303,2.417356491088867
5.121323347091675,2.395271691090626,2.4167447090148926
5.137317657470703,2.388232255998967,2.415450096130371
5.153315305709839,2.3803347697848074,2.4133286476135254
5.169361114501953,2.3715579789835717,2.410567283630371
5.1853272914886475,2.3619798169644266,2.4069745540618896
5.20134162902832,2.351532186677887,2.4018607139587402
5.217322826385498,2.34027352495872,2.395416021347046
5.233324766159058,2.328173957045298,2.387402296066284
5.249319553375244,2.3152611572667716,2.3766298294067383
5.2653114795684814,2.301540578825584,2.363678455352783
5.281322717666626,2.2870006248584382,2.353328227996826
5.297316074371338,2.271684137528062,2.344545841217041
5.313302040100098,2.2555926102401367,2.333893299102783
5.329302787780762,2.238713345879041,2.3217358589172363
5.345303058624268,2.221072062974504,2.308741807937622
5.361300706863403,2.2026824886468455,2.2925376892089844
5.37730598449707,2.1835441080138103,2.270507574081421
5.393317222595215,2.1636700766049723,2.2492148876190186
5.4093101024627686,2.1431039684672153,2.2315754890441895
