timestamp,motor_commanded_torque,motor_encoder_torque,motor_encoder_torque_target,motor_encoder_angle,motor_encoder_velocity,imu_dt,imu_dthetax,imu_dthetay,imu_dthetaz,imu_dvelx,imu_dvely,imu_dvelz,imu_ang_velx,imu_ang_vely,imu_ang_velz,imu_lin_accelx,imu_lin_accely,imu_lin_accelz,ins_theta,ins_phi,ins_psi
8300,0,-0.0428506,-0.0480011,-2.68817e-05,-0.000650189,0.014,2.08762e-05,1.84354e-05,-4.20582e-05,0.136043,-0.00555224,-0.017043,0.00149116,0.00131681,-0.00300415,9.71736,-0.396588,-1.21736,0.25617,1.44009,-2.98952
8400,0,-0.0536168,-0.0489402,-1.63317e-05,0.00489304,0.014,6.88988e-06,-3.67384e-06,4.18895e-07,0.13553,-0.00314082,-0.0156839,0.000492134,-0.000262417,2.99211e-05,9.6807,-0.224344,-1.12028,0.257016,1.43993,-2.98862
8500,0,-0.0300185,-0.0488888,-1.87159e-05,0.00474403,0.014,-5.54229e-06,-1.01006e-05,5.54974e-05,0.135436,-0.00392403,-0.0165975,-0.000395878,-0.000721471,0.0039641,9.67401,-0.280288,-1.18554,0.257421,1.44004,-2.9882
8600,0,-0.046115,-0.0485373,-1.86563e-05,0.00273237,0.014,-6.88895e-06,2.17802e-05,5.25991e-05,0.135927,-0.00501457,-0.0169207,-0.000492068,0.00155573,0.00375708,9.70909,-0.358183,-1.20862,0.256829,1.44011,-2.98882
8700,0,-0.0570629,-0.0467718,-4.6432e-05,-0.00717691,0.014,3.71307e-05,2.25613e-05,2.69866e-06,0.135647,-0.00515418,-0.0162397,0.0026522,0.00161152,0.000192761,9.68904,-0.368156,-1.15998,0.256655,1.44002,-2.98902
8800,0,-0.0332669,-0.0472884,-2.92659e-05,-0.00433079,0.014,6.86755e-05,9.38592e-07,-1.60045e-06,0.136084,-0.00380766,-0.0159094,0.00490539,6.70423e-05,-0.000114318,9.72025,-0.271976,-1.13639,0.256867,1.44005,-2.98883
8900,0,-0.043683,-0.0493702,-9.59635e-06,0.00788816,0.014,2.60115e-05,1.7811e-05,2.15063e-06,0.135661,-0.00392119,-0.0150838,0.00185796,0.00127221,0.000153617,9.69007,-0.280085,-1.07741,0.256902,1.44003,-2.98876
9000,0,-0.0191443,-0.0474738,-3.27826e-05,-0.00292263,0.014,1.409e-05,-1.75141e-05,3.40602e-05,0.1359,-0.00456908,-0.0158868,0.00100643,-0.00125101,0.00243287,9.70717,-0.326363,-1.13477,0.256292,1.44018,-2.98937
9100,0,-0.064559,-0.048198,-2.2769e-05,0.001354,0.014,1.59631e-05,8.42384e-06,-2.53134e-05,0.13648,-0.00458213,-0.0173528,0.00114022,0.000601703,-0.0018081,9.74857,-0.327295,-1.23949,0.255735,1.44043,-2.98996
9201,0,-0.0403837,-0.0491841,-2.0802e-05,0.00736661,0.014,2.81985e-05,-1.29065e-05,-3.0584e-05,0.135647,-0.00542317,-0.017613,0.00201418,-0.000921894,-0.00218457,9.6891,-0.387369,-1.25807,0.256148,1.44047,-2.98952
9302,0,-0.050728,-0.0484763,-2.38419e-05,0.0032837,0.014,1.34548e-05,4.62888e-06,-1.88569e-05,0.135943,-0.00278681,-0.0173299,0.00096106,0.000330634,-0.00134692,9.71018,-0.199058,-1.23785,0.256945,1.4404,-2.9887
9400,0,-0.0372333,-0.0474752,-3.21865e-05,-0.0024607,0.014,2.11681e-05,-2.21297e-05,5.60217e-05,0.135774,-0.00329179,-0.0171319,0.001512,-0.00158069,0.00400155,9.69817,-0.235128,-1.22371,0.256855,1.44035,-2.98881
9500,0,-0.0531664,-0.0473912,-3.95179e-05,-0.00269913,0.014,-1.22942e-05,-2.24983e-05,5.1801e-05,0.135963,-0.00599033,-0.0183011,-0.000878157,-0.00160702,0.00370007,9.71167,-0.427881,-1.30722,0.255743,1.44051,-2.98993
9600,0,-0.0319123,-0.0471541,-3.44515e-05,-0.00413709,0.014,2.32373e-06,-4.92142e-06,-2.05483e-05,0.136024,-0.00549306,-0.0180497,0.000165981,-0.00035153,-0.00146774,9.716,-0.392361,-1.28927,0.255419,1.44054,-2.99028
9700,0,-0.0434128,-0.0462944,-4.1306e-05,-0.00906193,0.014,6.43939e-06,-2.52583e-05,-3.12148e-05,0.135882,-0.00356002,-0.0176648,0.000459957,-0.00180416,-0.00222963,9.70585,-0.254287,-1.26177,0.255873,1.44054,-2.98983
9800,0,-0.0314077,-0.0472748,-2.8491e-05,-0.00333988,0.014,-1.47117e-05,-1.59123e-05,3.73542e-05,0.135803,-0.00277058,-0.0166339,-0.00105084,-0.0011366,0.00266816,9.70024,-0.197899,-1.18813,0.25667,1.4405,-2.98906
9900,0,-0.0505778,-0.0468366,-4.30942e-05,-0.00554526,0.014,-2.4757e-05,-4.28468e-05,6.44324e-05,0.135961,-0.00512122,-0.0168391,-0.00176836,-0.00306048,0.00460231,9.71153,-0.365802,-1.20279,0.255832,1.44058,-2.98991
